node_date,node_id,theme,node_type,trigger,basket_tickers,primary_benchmark,secondary_benchmark,source_url,predefined_thesis
2022-11-30,chatgpt_launch,all_ai_supply_chain,gen_ai_awareness,"ChatGPT public launch made generative AI demand visible","NVDA|AMD|AVGO|MRVL|CAMT|ONTO|FORM|LITE|COHR|AAOI|VRT|ETN|POWL|MOD|MU|WDC|STX",QQQ,SMH,https://openai.com/index/chatgpt/,"If generative AI becomes real workload, compute first, then packaging/networking/power/storage bottlenecks should follow"
2023-05-24,nvda_q1_fy24_compute_shock,advanced_packaging_hbm,earnings_shock,"NVIDIA Q1 FY2024 guide shock: accelerated computing and generative AI demand surge","CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR",QQQ,SMH,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2024/,"When GPUs become bottleneck, HBM, CoWoS-like packaging, inspection and probe capacity should re-rate next"
2023-05-24,nvda_q1_fy24_compute_shock,optical_networking,earnings_shock,"NVIDIA Q1 FY2024 guide shock: data center acceleration requires networking","LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL",QQQ,SMH,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2024/,"More AI clusters increase east-west traffic and should pull optical/networking suppliers after GPU leaders"
2023-05-24,nvda_q1_fy24_compute_shock,power_cooling,earnings_shock,"NVIDIA Q1 FY2024 guide shock: accelerated data centers need more power and cooling","VRT|ETN|POWL|MOD|NVT|ECL|PWR",QQQ,SMH,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2024/,"GPU deployment should migrate bottlenecks into power delivery, switchgear, thermal and data-center infrastructure"
2023-05-24,nvda_q1_fy24_compute_shock,storage_memory,earnings_shock,"NVIDIA Q1 FY2024 guide shock: AI data pipelines and HBM cycle start to matter","MU|WDC|STX",QQQ,SMH,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2024/,"AI should eventually pull HBM and high-capacity storage, but timing may lag GPU demand"
2023-08-23,nvda_q2_fy24_supply_confirmation,advanced_packaging_hbm,earnings_confirmation,"NVIDIA Q2 FY2024 revenue +88% QoQ confirmed AI supply ramp","CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR",QQQ,SMH,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-Second-Quarter-Fiscal-2024/default.aspx,"Second confirmation should reward upstream bottleneck suppliers with real order conversion"
2023-08-23,nvda_q2_fy24_supply_confirmation,optical_networking,earnings_confirmation,"NVIDIA Q2 FY2024 confirmed large-scale AI data center demand","LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL",QQQ,SMH,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-Second-Quarter-Fiscal-2024/default.aspx,"Networking and optical should begin to price higher AI cluster density"
2023-08-23,nvda_q2_fy24_supply_confirmation,power_cooling,earnings_confirmation,"NVIDIA Q2 FY2024 confirmed sustained AI infrastructure buildout","VRT|ETN|POWL|MOD|NVT|ECL|PWR",QQQ,SMH,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-Second-Quarter-Fiscal-2024/default.aspx,"Power/cooling cycle should keep compounding if AI capex becomes multi-quarter"
2024-03-18,blackwell_gtc_2024,advanced_packaging_hbm,architecture_shift,"NVIDIA Blackwell introduces larger rack-scale AI systems and more packaging/memory complexity","CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR",QQQ,SMH,https://nvidianews.nvidia.com/news/nvidia-blackwell-platform-arrives-to-power-a-new-era-of-computing,"Blackwell should deepen packaging/HBM/test bottlenecks"
2024-03-18,blackwell_gtc_2024,optical_networking,architecture_shift,"NVIDIA Blackwell/rack-scale systems intensify cluster interconnect demands","LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL|CRDO",QQQ,SMH,https://nvidianews.nvidia.com/news/nvidia-blackwell-platform-arrives-to-power-a-new-era-of-computing,"Rack-scale AI should increase value of optical, Ethernet, SerDes and test suppliers"
2024-03-18,blackwell_gtc_2024,power_cooling,architecture_shift,"NVIDIA Blackwell/rack-scale AI factory framing increases power-density demands","VRT|ETN|POWL|MOD|NVT|ECL|PWR",QQQ,SMH,https://nvidianews.nvidia.com/news/nvidia-blackwell-platform-arrives-to-power-a-new-era-of-computing,"GB200/NVL72-class systems should re-rate liquid cooling, switchgear and electrical infrastructure"
2024-03-18,blackwell_gtc_2024,copper_interconnect,architecture_shift,"NVIDIA Blackwell/rack-scale systems require faster copper/electrical connectivity","CRDO|ALAB|APH|TEL|MXL|AVGO|MRVL",QQQ,SMH,https://nvidianews.nvidia.com/news/nvidia-blackwell-platform-arrives-to-power-a-new-era-of-computing,"Scale-up/scale-out connectivity should reward retimer/AEC/connector suppliers"
2024-05-22,nvda_q1_fy25_ai_factory,power_cooling,earnings_confirmation,"NVIDIA Q1 FY2025 framed AI factories and accelerated data-center buildout","VRT|ETN|POWL|MOD|NVT|ECL|PWR",QQQ,SMH,https://investor.nvidia.com/news/press-release-details/2024/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2025/default.aspx,"AI factory language should strengthen non-chip infrastructure trade"
2024-05-22,nvda_q1_fy25_ai_factory,advanced_packaging_hbm,earnings_confirmation,"NVIDIA Q1 FY2025 confirmed data-center revenue acceleration","CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR",QQQ,SMH,https://investor.nvidia.com/news/press-release-details/2024/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2025/default.aspx,"Confirmed AI demand should support HBM/AP equipment"
2024-12-12,broadcom_fy24_ai_networking,optical_networking,networking_confirmation,"Broadcom FY2024 AI revenue +220% driven by AI XPUs and Ethernet networking","LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL|CRDO",QQQ,SMH,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2024,"AI networking confirmation should rotate attention to optical/networking suppliers"
2024-12-12,broadcom_fy24_ai_networking,copper_interconnect,networking_confirmation,"Broadcom FY2024 highlighted AI XPUs and Ethernet networking","CRDO|ALAB|APH|TEL|MXL|AVGO|MRVL",QQQ,SMH,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2024,"Custom AI ASIC and Ethernet scaling should pull copper/electrical connectivity"
2025-09-29,semtech_1p6t_fiberedge,optical_networking,product_order,"Semtech FiberEdge 1.6T/200G per channel product signal","SMTC|MTSI|MXL|LITE|COHR|AAOI|FN|VIAV",QQQ,SMH,https://www.semtech.com/company/press/semtech-advances-1.6t-multimode-innovation-for-ai-infrastructure,"1.6T component-level product activity should support second-order optical suppliers"
2026-03-16,onto_dragonfly_g5_hbm4,advanced_packaging_hbm,product_order,"Onto Dragonfly G5 selected by leading HBM manufacturer for HBM4 ramp","ONTO|CAMT|FORM|ACMR|KLIC|AEHR",QQQ,SMH,https://investors.ontoinnovation.com/news/news-details/2026/Onto-Innovation-Launches-Dragonfly-G5-Inspection-System/default.aspx,"HBM4 inspection/metrology wins should validate AP/HBM equipment basket"
2026-03-16,gtc_2026_rubin_system,optical_networking,architecture_shift,"NVIDIA Rubin system roadmap increases networking and system bottlenecks","LITE|COHR|AAOI|FN|SMTC|MTSI|MXL|VIAV|CRDO|ALAB",QQQ,SMH,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Kicks-Off-the-Next-Generation-of-AI-With-Rubin--Six-New-Chips-One-Incredible-AI-Supercomputer/default.aspx,"Rubin-scale systems should keep optical/networking/copper bottlenecks alive"
2026-03-16,gtc_2026_rubin_system,power_cooling,architecture_shift,"NVIDIA Rubin system roadmap continues AI factory power-density pressure","VRT|ETN|POWL|MOD|NVT|ECL|PWR",QQQ,SMH,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Kicks-Off-the-Next-Generation-of-AI-With-Rubin--Six-New-Chips-One-Incredible-AI-Supercomputer/default.aspx,"Rubin systems should reinforce power/cooling bottlenecks"
